Combination
a + d + f + h + j
a + d + f + h + k
a + d + f + h + l
a + d + f + i + j
a + d + f + i + k
a + d + f + i + l
a + d + g + h + j
a + d + g + h + k
a + d + g + h + l
a + d + g + i + j
a + d + g + i + k
a + d + g + i + l
a + e + f + h + j
a + e + f + h + k
a + e + f + h + l
a + e + f + i + j
a + e + f + i + k
a + e + f + i + l
a + e + g + h + j
a + e + g + h + k
a + e + g + h + l
a + e + g + i + j
a + e + g + i + k
a + e + g + i + l
b + d + f + h + j
b + d + f + h + k
b + d + f + h + l
b + d + f + i + j
b + d + f + i + k
b + d + f + i + l
b + d + g + h + j
b + d + g + h + k
b + d + g + h + l
b + d + g + i + j
b + d + g + i + k
b + d + g + i + l
b + e + f + h + j
b + e + f + h + k
b + e + f + h + l
b + e + f + i + j
b + e + f + i + k
b + e + f + i + l
b + e + g + h + j
b + e + g + h + k
b + e + g + h + l
b + e + g + i + j
b + e + g + i + k
b + e + g + i + l
c + d + f + h + j
c + d + f + h + k
c + d + f + h + l
c + d + f + i + j
c + d + f + i + k
c + d + f + i + l
c + d + g + h + j
c + d + g + h + k
c + d + g + h + l
c + d + g + i + j
c + d + g + i + k
c + d + g + i + l
c + e + f + h + j
c + e + f + h + k
c + e + f + h + l
c + e + f + i + j
c + e + f + i + k
c + e + f + i + l
c + e + g + h + j
c + e + g + h + k
c + e + g + h + l
c + e + g + i + j
c + e + g + i + k
c + e + g + i + l
