Combination,Category
a + d + f + h + j,Low risk
a + d + f + h + k,Low risk
a + d + f + h + l,Low risk
a + d + f + i + j,Low risk
a + d + f + i + k,Low risk
a + d + f + i + l,Low risk
a + d + g + h + j,Low risk
a + d + g + h + k,Low risk
a + d + g + h + l,Medium risk
a + d + g + i + j,Low risk
a + d + g + i + k,Medium risk
a + d + g + i + l,Medium risk
a + e + f + h + j,Low risk
a + e + f + h + k,Low risk
a + e + f + h + l,Medium risk
a + e + f + i + j,Low risk
a + e + f + i + k,Low/Medium risk
a + e + f + i + l,Medium risk
a + e + g + h + j,Medium risk
a + e + g + h + k,Medium risk
a + e + g + h + l,High risk
a + e + g + i + j,Medium risk
a + e + g + i + k,High risk
a + e + g + i + l,High risk
b + d + f + h + j,Low risk
b + d + f + h + k,Low risk
b + d + f + h + l,Low risk
b + d + f + i + j,Low risk
b + d + f + i + k,Low/Medium risk
b + d + f + i + l,Medium risk
b + d + g + h + j,Low risk
b + d + g + h + k,Medium risk
b + d + g + h + l,Medium risk
b + d + g + i + j,Medium risk
b + d + g + i + k,Medium risk
b + d + g + i + l,High risk
b + e + f + h + j,Low risk
b + e + f + h + k,Low risk
b + e + f + h + l,Medium risk
b + e + f + i + j,Medium risk
b + e + f + i + k,Medium risk
b + e + f + i + l,High risk
b + e + g + h + j,Medium risk
b + e + g + h + k,High risk
b + e + g + h + l,High risk
b + e + g + i + j,High risk
b + e + g + i + k,High risk
b + e + g + i + l,High risk
c + d + f + h + j,Low risk
c + d + f + h + k,Low risk
c + d + f + h + l,Medium risk
c + d + f + i + j,Medium risk
c + d + f + i + k,Medium risk
c + d + f + i + l,High risk
c + d + g + h + j,Medium risk
c + d + g + h + k,Medium risk
c + d + g + h + l,High risk
c + d + g + i + j,High risk
c + d + g + i + k,High risk
c + d + g + i + l,High risk
c + e + f + h + j,Medium risk
c + e + f + h + k,Medium risk
c + e + f + h + l,High risk
c + e + f + i + j,High risk
c + e + f + i + k,High risk
c + e + f + i + l,High risk
c + e + g + h + j,High risk
c + e + g + h + k,High risk
c + e + g + h + l,High risk
c + e + g + i + j,High risk
c + e + g + i + k,High risk
c + e + g + i + l,High risk
